pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,w_ij
2009,2000,CA3 O LM,CA3 Pyramidal,i,e,-7956.640481999999
2009,2001,CA3 O LM,CA3 Granule,i,e,-2802.898052709888
2009,2004,CA3 O LM,CA3c Pyramidal,i,e,-1209.918388975296
2009,2005,CA3 O LM,CA3 LMR Targeting,i,i,-4414.5294707808
2009,2009,CA3 O LM,CA3 O LM,i,i,-916.640008409664
2009,2013,CA3 O LM,CA3 Lucidum ORAX,i,i,-415.6658528671153
2009,2020,CA3 O LM,CA3 Trilaminar,i,i,-1021.164472990771
2009,2028,CA3 O LM,CA3 Axo Axonic,i,i,-2874.037059621
2009,2035,CA3 O LM,CA3 Mossy Fiber Associated ORDEN,i,i,-904.0737054389043
2009,2036,CA3 O LM,CA3 Mossy Fiber Associated,i,i,-413.78973371814396
2009,2043,CA3 O LM,CA3 Basket,i,i,-5229.67281673984
2009,2044,CA3 O LM,CA3 Basket CCK+,i,i,-3516.2456296609603
2009,2047,CA3 O LM,CA3 Horizontal Axo Axonic,i,i,-779.1892652751199
2013,2000,CA3 Lucidum ORAX,CA3 Pyramidal,i,e,-9.745853616
2013,2001,CA3 Lucidum ORAX,CA3 Granule,i,e,-0.5047551916279198
2013,2004,CA3 Lucidum ORAX,CA3c Pyramidal,i,e,-8.74190284704
2013,2005,CA3 Lucidum ORAX,CA3 LMR Targeting,i,i,-1.5267116390399997
2013,2009,CA3 Lucidum ORAX,CA3 O LM,i,i,-3.235891743096
2013,2013,CA3 Lucidum ORAX,CA3 Lucidum ORAX,i,i,-3.854790117
2013,2019,CA3 Lucidum ORAX,CA3 Spiny Lucidum,i,i,-3.733716612306769
2013,2020,CA3 Lucidum ORAX,CA3 Trilaminar,i,i,-3.7729219347455993
2013,2028,CA3 Lucidum ORAX,CA3 Axo Axonic,i,i,-4.95162840942
2013,2035,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,i,i,-8.659663626239999
2013,2036,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,i,i,-5.693170119883896
