variant,seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
no_self,33,(0.017453701347668747-0.005320661231766851j),0,4,CA1 Radial Trilaminar (I),(0.05660305879003553+0.2514753200723959j),0.05660305879003553,0.2514753200723959,0.25776683818889934
no_self,33,(0.017453701347668747-0.005320661231766851j),0,5,CA1 Bistratified (I),(-0.10250147332410664+0.21900193191481182j),-0.10250147332410664,0.21900193191481182,0.24180239497579925
no_self,33,(0.017453701347668747-0.005320661231766851j),1,1,CA1 LMR (I),(-0.13948879054912372+0.38669060568489416j),-0.28861239998925103,0.6197710104159221,0.6836762558254663
no_self,33,(0.017453701347668747-0.005320661231766851j),1,2,CA1 Horizontal Basket (I),(-0.039898159456026094-0.2830047864061567j),-0.008975238371853878,0.28690749903674734,0.28704784950832285
no_self,33,(0.017453701347668747-0.005320661231766851j),1,3,CA2 Wide Arbor Basket (I),(-0.0218975855608279+0.26770855969747953j),-0.061881635864868154,0.10450120839192377,0.12144891688559604
no_self,33,(0.017453701347668747-0.005320661231766851j),1,4,CA1 Radial Trilaminar (I),(0.05660305879003553+0.2514753200723959j),-0.11308887595017572,0.273257134405187,0.2957339266418526
no_self,33,(0.017453701347668747-0.005320661231766851j),1,5,CA1 Bistratified (I),(-0.10250147332410664+0.21900193191481182j),-0.1628946841800704,0.3899772794983396,0.42263099349083594
no_self,33,(0.017453701347668747-0.005320661231766851j),2,1,CA1 LMR (I),(-0.13948879054912372+0.38669060568489416j),-0.0018979299668628394,0.34112410835408863,0.34112938811912863
no_self,33,(0.017453701347668747-0.005320661231766851j),2,2,CA1 Horizontal Basket (I),(-0.039898159456026094-0.2830047864061567j),-0.11706157376472114,0.17103027766206466,0.20725532062998087
no_self,33,(0.017453701347668747-0.005320661231766851j),2,3,CA2 Wide Arbor Basket (I),(-0.0218975855608279+0.26770855969747953j),-0.015406433076228,0.08868886048513713,0.09001706590577373
no_self,33,(0.017453701347668747-0.005320661231766851j),2,4,CA1 Radial Trilaminar (I),(0.05660305879003553+0.2514753200723959j),0.01213735052964534,0.04315371344827095,0.04482809679492275
no_self,33,(0.017453701347668747-0.005320661231766851j),2,5,CA1 Bistratified (I),(-0.10250147332410664+0.21900193191481182j),-0.06798162580130884,0.26244295404371665,0.2711047870727877
no_self,33,(0.017453701347668747-0.005320661231766851j),3,1,CA1 LMR (I),(-0.13948879054912372+0.38669060568489416j),-0.14153558773124078,0.23473529298714096,0.2741039590523761
no_self,33,(0.017453701347668747-0.005320661231766851j),3,2,CA1 Horizontal Basket (I),(-0.039898159456026094-0.2830047864061567j),0.09266995220189601,-0.037101520766444296,0.09982105431362959
no_self,33,(0.017453701347668747-0.005320661231766851j),3,3,CA2 Wide Arbor Basket (I),(-0.0218975855608279+0.26770855969747953j),0.015876196112911654,0.01738861620324447,0.023546073483266105
no_self,33,(0.017453701347668747-0.005320661231766851j),3,4,CA1 Radial Trilaminar (I),(0.05660305879003553+0.2514753200723959j),-0.033473382330006296,0.02585608712612356,0.04229662594208278
no_self,33,(0.017453701347668747-0.005320661231766851j),3,5,CA1 Bistratified (I),(-0.10250147332410664+0.21900193191481182j),-0.08122590797232732,0.1624449974150291,0.1816205531075649
no_self,33,(0.017453701347668747-0.005320661231766851j),4,1,CA1 LMR (I),(-0.13948879054912372+0.38669060568489416j),0.2372647298477082,-0.11715370997400858,0.264612062820991
no_self,33,(0.017453701347668747-0.005320661231766851j),4,2,CA1 Horizontal Basket (I),(-0.039898159456026094-0.2830047864061567j),-0.004259091830558831,0.004103797594878135,0.005914475287027627
no_self,33,(0.017453701347668747-0.005320661231766851j),4,3,CA2 Wide Arbor Basket (I),(-0.0218975855608279+0.26770855969747953j),0.02327300526198917,0.003527768225796401,0.02353885984026232
no_self,33,(0.017453701347668747-0.005320661231766851j),4,4,CA1 Radial Trilaminar (I),(0.05660305879003553+0.2514753200723959j),0.08368985941747542,-0.06695082980246976,0.10717465269622324
no_self,33,(0.017453701347668747-0.005320661231766851j),4,5,CA1 Bistratified (I),(-0.10250147332410664+0.21900193191481182j),0.09647465777357439,-0.03632285392680053,0.10308593167797431
no_self,33,(0.017453701347668747-0.005320661231766851j),5,1,CA1 LMR (I),(-0.13948879054912372+0.38669060568489416j),-0.045421111576128076,0.08226804836954442,0.09397398128920992
no_self,33,(0.017453701347668747-0.005320661231766851j),5,2,CA1 Horizontal Basket (I),(-0.039898159456026094-0.2830047864061567j),0.08839818501820602,-0.05035004431167079,0.10173183413612573
no_self,33,(0.017453701347668747-0.005320661231766851j),5,3,CA2 Wide Arbor Basket (I),(-0.0218975855608279+0.26770855969747953j),0.020412266000517904,0.0026936461563672512,0.02058922856475228
no_self,33,(0.017453701347668747-0.005320661231766851j),5,4,CA1 Radial Trilaminar (I),(0.05660305879003553+0.2514753200723959j),-0.034321067204947396,0.032252947106376634,0.04709764591923087
no_self,33,(0.017453701347668747-0.005320661231766851j),5,5,CA1 Bistratified (I),(-0.10250147332410664+0.21900193191481182j),-0.0061709770869645296,0.030211453312855296,0.0308352536795577
no_self,33,(0.017453701347668747-0.005320661231766851j),6,1,CA1 LMR (I),(-0.13948879054912372+0.38669060568489416j),0.16854683122917585,-0.0615787812466695,0.1794435304412546
no_self,33,(0.017453701347668747-0.005320661231766851j),6,2,CA1 Horizontal Basket (I),(-0.039898159456026094-0.2830047864061567j),-0.0011180753598838899,0.015012473063903313,0.015054050617850402
no_self,33,(0.017453701347668747-0.005320661231766851j),6,3,CA2 Wide Arbor Basket (I),(-0.0218975855608279+0.26770855969747953j),0.01933840718961461,0.0001532150732595587,0.019339014129215893
no_self,33,(0.017453701347668747-0.005320661231766851j),6,4,CA1 Radial Trilaminar (I),(0.05660305879003553+0.2514753200723959j),0.0466048050648789,-0.021098700568587918,0.051158215575001185
no_self,33,(0.017453701347668747-0.005320661231766851j),6,5,CA1 Bistratified (I),(-0.10250147332410664+0.21900193191481182j),0.07459290910407206,-0.024229380425719628,0.07842936289695715
no_self,33,(0.017453701347668747-0.005320661231766851j),7,1,CA1 LMR (I),(-0.13948879054912372+0.38669060568489416j),-0.015414540114842943,0.04582094870644063,0.04834425909361281
no_self,33,(0.017453701347668747-0.005320661231766851j),7,2,CA1 Horizontal Basket (I),(-0.039898159456026094-0.2830047864061567j),0.05548004489271499,-0.017515147688126998,0.05817916963857916
