target,source,i,j,weight,dalpha_dAij,domega_dAij,elasticity_alpha,elasticity_omega,priority,dG_dAij,elasticity_G
EC LII III Pyramidal Tripolar,EC LI II Pyramidal Fan,67,63,0.0002215064450075265,0.2922810539338862,3.2917214670144284e-07,6.474213719994825e-05,7.291375201133259e-11,6.474213719994825e-05,,
EC LI II Multipolar Pyramidal,MEC LII III Pyramidal Multiform,62,66,0.012734215300992101,0.004955682663141792,9.050637185963597e-09,6.310672999584149e-05,1.1525276253722573e-10,6.310672999584149e-05,,
CA2 Pyramidal,CA3c Pyramidal,28,15,0.0013171598235626131,0.011453391654347516,0.04774357489498118,1.5085947330633879e-05,6.288591868492181e-05,6.288591868492181e-05,,
EC LIII Pyramidal Stellate,CA1 LMR,73,43,0.01639421889803016,-9.135115652478807e-07,0.003718358285467582,-1.4976308566555917e-08,6.095957967325965e-05,6.095957967325965e-05,,
CA2 Pyramidal,CA1 Basket CCK+,28,40,0.005952630404372212,-3.4765962743702e-05,0.010178099059323377,-2.069489268654321e-07,6.058646191924055e-05,6.058646191924055e-05,,
CA3 Pyramidal,CA1 Radial Trilaminar,14,60,0.003611234572940198,-1.8405304893553667e-07,0.016474099250281583,-6.646587335710641e-10,5.949183677066504e-05,5.949183677066504e-05,,
MEC LIII Bipolar Complex Pyramidal,EC LI II Multipolar Pyramidal,71,62,6.599320329053752e-05,0.8340388002838374,1.030783588680636e-08,5.504089209932731e-05,6.802471091635103e-13,5.504089209932731e-05,,
CA3c Pyramidal,CA1 Recurrent O LM,15,47,0.005317641204328488,-9.616531373845882e-08,0.010225027836792229,-5.11372634762805e-10,5.437302934033214e-05,5.437302934033214e-05,,
CA3c Pyramidal,CA2 SP SR,15,32,0.01032208462349309,-1.799252500511901e-08,0.005011436961091143,-1.8572036569315383e-10,5.172847639768382e-05,5.172847639768382e-05,,
EC LIII Pyramidal Stellate,CA1 Basket CCK+,73,40,0.013605746500248692,-6.151476837984649e-05,0.0037957588170319336,-8.369543445977053e-07,5.1644132240620346e-05,5.1644132240620346e-05,,
MEC LV Pyramidal,EC LI II Multipolar Pyramidal,78,62,0.00023656722440602233,0.21329047381609179,3.527307374697379e-07,5.045753538291822e-05,8.344453152590524e-11,5.045753538291822e-05,,
CA3c Pyramidal,DG HICAP,15,7,0.01049973525270483,-3.193341088522519e-08,0.004699691047587084,-3.352923600107071e-10,4.93455117691714e-05,4.93455117691714e-05,,
EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,67,83,0.020809875674557738,-0.00221917667675973,1.1685609894612929e-07,-4.6180790743248185e-05,2.431760890882768e-09,4.6180790743248185e-05,,
CA1 Pyramidal,CA1 OR LM,33,51,0.005440641679665413,-9.484474154455516e-07,0.008374244965529248,-5.160162539444005e-09,4.5561266195186675e-05,4.5561266195186675e-05,,
MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,65,83,0.023863749182620467,-0.0019029141022579002,5.166129528236478e-07,-4.5410664852353924e-05,1.232832193067647e-08,4.5410664852353924e-05,,
CA2 Pyramidal,CA1 Oriens Alveus,28,49,0.005624984325801422,-9.542212964794696e-07,0.007995065608347082,-5.367479836042928e-09,4.497211873070635e-05,4.497211873070635e-05,,
MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,83,65,-6.380085627196813e-05,0.7046348459065721,5.166129528236478e-07,-4.495630652790562e-05,-3.29603487513386e-11,4.495630652790562e-05,,
CA3c Pyramidal,CA3 Pyramidal,15,14,0.00022767457131879861,0.0008461849213812105,0.1965663501272226,1.926547892318984e-07,4.475315950091628e-05,4.475315950091628e-05,,
CA1 Trilaminar,CA1 Perforant Path Associated QuadD,59,53,-0.0003617690061985688,3.6801052970586695e-07,0.11634844279392156,-1.3313480360230037e-10,-4.209126052230804e-05,4.209126052230804e-05,,
MEC LII III Pyramidal Multiform,EC LI II Multipolar Pyramidal,66,62,6.181601316128499e-05,0.6716116194883774,9.050637185963597e-09,4.1516352709565466e-05,5.59474307405541e-13,4.1516352709565466e-05,,
CA3 Pyramidal,CA3 Lucidum ORAX,14,22,0.017758500168797667,-2.948102684721503e-08,0.002282524229200226,-5.235388202425966e-10,4.053420690953698e-05,4.053420690953698e-05,,
MEC LII Stellate,MEC LIII Complex Pyramidal,65,70,0.0019032463279600252,0.02035259759494689,4.8186651253562997e-08,3.873600663703071e-05,9.171106705503411e-11,3.873600663703071e-05,,
CA3 Pyramidal,CA2 Wide Arbor Basket,14,30,0.007672429337994394,-3.867085390730021e-05,0.004861602515506741,-2.9669939404366527e-07,3.730030176964127e-05,3.730030176964127e-05,,
CA3 Pyramidal,CA1 Schaffer Collateral Associated,14,57,0.0033284558082432615,-1.921388435608955e-06,0.010894627587580035,-6.39525649839406e-09,3.626228647252804e-05,3.626228647252804e-05,,
EC LII III Pyramidal Tripolar,MEC LIII Complex Pyramidal,67,70,0.001481415612748706,0.023735180605677704,1.0899657192085855e-08,3.5161667120661235e-05,1.6146922337964706e-11,3.5161667120661235e-05,,
EC LI II Multipolar Pyramidal,EC LIII Pyramidal Stellate,62,73,0.011094129547557325,0.003075587231508807,1.3226434619407143e-05,3.412096318117189e-05,1.4673577911999992e-07,3.412096318117189e-05,,
CA1 Pyramidal,CA1 Basket,33,38,0.004204485866716877,-2.7844522312719178e-05,0.00795595210046202,-1.1707190052931052e-07,3.3450688162669014e-05,3.3450688162669014e-05,,
CA3c Pyramidal,CA1 O LMR,15,48,0.004610232330492297,-2.04788429463267e-07,0.0071518924089755955,-9.44122238422295e-10,3.297188560806173e-05,3.297188560806173e-05,,
CA2 Pyramidal,CA2 Basket,28,29,0.009431477781874704,-3.4614509349334882e-06,0.003461736421740239,-3.264659758587462e-08,3.2649290148349505e-05,3.2649290148349505e-05,,
CA3 Pyramidal,CA3 Basket,14,19,0.015842803071331766,-4.127828558977014e-05,0.0020422394905056417,-6.539637497209202e-07,3.23547980725778e-05,3.23547980725778e-05,,
CA3c Pyramidal,CA1 O LM,15,46,0.0041319188176228054,-1.555588019626099e-07,0.007350796783009062,-6.427563410761672e-10,3.0372895552236325e-05,3.0372895552236325e-05,,
