mode,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,cell_index,cell_type,region,ei,loading_rank,loading_real,loading_imag,loading_magnitude,energy_fraction
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,21,CA1 Radial Trilaminar (I),CA1,i,38,-0.03634960262173689,0.060050993945085056,0.07019555174333217,0.004927415484550824
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,56,DG MOPP (I),DG,i,39,-0.06456510588689937,0.023854280934717947,0.0688308042746776,0.004737679617098976
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,79,MEC LIII Superficial Trilayered Interneuron (I),MEC,i,40,-0.041415843246122644,0.05358654772178784,0.06772584564645058,0.004586790168526849
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,6,CA1 Horizontal Basket (I),CA1,i,41,0.03090771341434971,-0.05787263060756205,0.06560890276435738,0.004304528121942901
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,28,CA2 Basket (I),CA2,i,42,-0.051248445880679894,0.03726823333704469,0.06336658757775572,0.004015324421249386
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,52,DG HIPP (I),DG,i,43,0.02782255163215279,0.05130454545528709,0.05836309419228411,0.0034062507636974273
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,13,CA1 OR LM (I),CA1,i,44,-0.0035208031523642214,0.057983586080251,0.05809038052520895,0.003374492309563575
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,32,CA2 Wide Arbor Basket (I),CA2,i,45,-0.038336808526503556,0.0431979443698912,0.05775615366159705,0.0033357732857820107
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,62,EC LI II Pyramidal Fan (E),EC,e,46,0.03264715650840521,-0.04713958134313934,0.05734088382027919,0.0032879769572907555
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,69,EC LV Deep Pyramidal (E),EC,e,47,0.042543602596695776,-0.03693622978697825,0.05634042236957439,0.003174243192782039
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,54,DG Hilar Ectopic Granule (E),DG,e,48,0.012714663121148353,-0.05481383735043715,0.05626916938576994,0.003166219423364469
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,65,EC LIII Pyramidal Stellate (E),EC,e,49,0.030822613011873033,-0.04526075225315176,0.05475919253788232,0.0029985691674008666
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,11,CA1 O LM (I),CA1,i,50,-0.036112146941764664,0.03192625039378263,0.04820137571636424,0.0023233726209501084
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,30,CA2 Pyramidal (E),CA2,e,51,0.0412855715995536,-0.02478543243031686,0.048154086878059166,0.00231881608305967
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,24,CA1 Recurrent O LM (I),CA1,i,52,0.038825243917829884,-0.027900527807261075,0.04781044882871039,0.002285839017202735
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,5,CA1 Horizontal Axo Axonic (I),CA1,i,53,-0.035454149355346,0.028375814319562348,0.04541127112082925,0.002062183544809461
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,33,CA3 Axo Axonic (I),CA3,i,54,0.031410749921863185,-0.03038316800805567,0.04370093945053774,0.0019097721088595658
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,17,CA1 Perforant Path Associated QuadD (I),CA1,i,55,-0.037447720549849545,0.02220242202010745,0.04353480582176262,0.0018952793179385764
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,46,CA3c Pyramidal (E),CA3,e,56,-0.020660790017163148,0.032578897066165666,0.0385778793893745,0.001488252778181126
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,80,MEC LV Multipolar Pyramidal (E),MEC,e,57,0.004334639140947165,-0.034743954109385994,0.03501330380922873,0.001225931443637351
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,44,CA3 Spiny Lucidum (I),CA3,i,58,0.021685434148473258,-0.024501467046120308,0.03271971793307347,0.0010705799416198896
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,67,EC LIII V Bipolar Pyramidal (E),EC,e,59,0.024835415321532155,-0.021003114379458745,0.03252581540606816,0.0010579286678296207
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,58,DG Neurogliaform (I),DG,i,60,-0.02889608577085423,0.013055309237898906,0.031708435347297295,0.0010054248721737325
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,48,DG Axo Axonic (I),DG,i,61,-0.02604057604623833,0.016740643037164438,0.0309574018631681,0.0009583607301176837
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,64,EC LIII Pyramidal (E),EC,e,62,-0.021391314798649735,0.021392465754362572,0.03025270136477909,0.0009152259398665065
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,76,MEC LIII Bipolar Complex Pyramidal (E),MEC,e,63,0.01786153084917237,-0.024360220274673293,0.03020686372509632,0.00091245461610654
