null_id,spectral_radius,max_real_eigenvalue,chain_count,divergent_count,convergent_count,reciprocal_count,chain_score_sum,chain_abs_score_sum,divergent_score_sum,divergent_abs_score_sum,convergent_score_sum,convergent_abs_score_sum,reciprocal_score_sum,reciprocal_abs_score_sum
59,1.1708450425634855,1.1708450425634855,28492,14651,14298,181,323.0374744338576,394.35720874348044,2775.4115304785128,2775.4115304785128,2503.246345523968,2557.6849621576794,0.46439947703259404,0.6976706364572997
60,0.7012055000238281,0.7012055000238281,28213,14688,14263,182,389.99757110581015,485.17555766739764,3171.1871922001956,3171.1871922001956,1759.4962667912696,1827.1245250737597,0.056766572666909786,0.36796740332626415
61,0.7991572517529385,0.7991572517529385,28037,14537,14328,179,385.0651975168667,466.3873142096137,3082.3854620305074,3082.3854620305074,1045.1142940765158,1108.9250434898404,0.5606700030323958,0.6833906979467158
62,0.7731607437049313,0.7731607437049313,28264,14568,14396,195,327.8262865520974,406.621032416615,2941.53044430254,2941.53044430254,1360.6014093549643,1415.782797054821,0.16975364364790968,0.3210427637730002
63,0.9420212667061976,0.9420212667061976,28138,14601,14427,171,367.81673541252644,440.01254280093156,4124.155123556556,4124.155123556556,1332.5740690147018,1399.5603757705626,0.27285062436741103,0.3042381661286103
64,1.1376662722941322,1.1376662722941322,28297,14683,14474,184,405.2100847863716,489.96186997025137,3631.1413222493156,3631.1413222493156,1247.8068228597722,1306.6829994138243,0.1544672278335654,0.5250700790504385
65,0.8303179632013565,0.8303179632013565,27941,14760,14313,189,282.1625227011983,348.93563650341827,3009.2246415566515,3009.2246415566515,3922.8936168318955,3986.085736727499,0.11835245983957528,0.1911404710632316
66,0.8267176782689976,0.8267176782689976,28332,14576,14488,178,331.1267629778236,406.6114153461936,2721.8057134098876,2721.8057134098876,1810.931269724141,1879.068187435699,0.4225031755468118,0.5262823328795699
67,0.7876295511507613,0.7876295511507613,28105,14683,14340,183,501.14917165069306,585.7181509161178,2365.814171734728,2365.814171734728,990.314939470461,1061.2926991981255,0.2518546452722145,0.3057454232555984
68,0.9209484540288775,0.9209484540288775,28175,14578,14307,191,338.0476083982489,410.8958392388647,2821.8600264462834,2821.8600264462834,2286.455542088706,2354.383677583792,0.6072748700478054,0.7061450084433827
69,0.8550046254880936,0.8461379111959658,28266,14686,14275,190,352.6748329362733,439.8385638472518,5073.711559776268,5073.711559776268,1454.3528564694745,1501.7981008626045,-0.06027247121234447,0.494215575443408
70,0.8289247687547595,0.8289247687547595,28151,14544,14378,189,260.7585255798902,350.25656773460514,3081.8286256255765,3081.8286256255765,1699.51886156676,1770.2782717838716,-0.043847324530803575,0.17889148025129242
71,0.9254474866102578,0.9254474866102578,28277,14666,14491,192,372.32335613843225,462.9533610212919,3387.347095218895,3387.347095218895,1149.0101522364316,1214.9090407424144,0.17626538752603,0.48099430928653
72,0.8187773794442486,0.8187773794442486,28406,14710,14502,196,318.93113470789604,408.029884663295,4121.825849935506,4121.825849935506,1215.7262167142899,1284.0152929790063,0.14253384089796264,0.1641566588241044
73,0.9380898515596073,0.9380898515596073,28262,14662,14400,187,451.0017583578466,526.6202701146196,3570.5166476824,3570.5166476824,1252.3893014906878,1325.0725930760582,0.9294911949369261,0.9622651404719215
74,0.9100826303293789,0.9100826303293789,28414,14726,14323,188,361.83087646625796,441.32717126790766,2804.3116795541996,2804.3116795541996,1848.0172160956997,1913.6529586902366,0.06382714847200344,0.2591794703845575
75,1.2261102224593952,1.2261102224593952,28165,14731,14294,174,349.1506364408998,428.6206942670582,2677.082902458793,2677.082902458793,1511.7582243781733,1580.4378538459196,1.2744877733217246,1.4931033889852283
76,0.740628198099199,0.7269651798751651,28192,14743,14486,188,407.80323741854016,483.47232313423376,3505.578336674056,3505.578336674056,1223.4923582904346,1292.6258686913648,0.5548622117143723,0.5972053909216982
77,0.9000957827697805,0.9000957827697805,28227,14588,14412,177,375.46050979099687,450.2317874881586,2294.8886967346903,2294.8886967346903,1210.8037644068258,1269.4122670198994,0.44688133855570117,0.7588140208657175
78,0.7442122864183749,0.7442122864183749,28060,14500,14315,169,404.76572814533415,481.69118357256644,2698.139083709788,2698.139083709788,1823.1599861941077,1888.7458268668952,0.1514642013128526,0.2034829315640596
79,0.8811898609762818,0.8811898609762818,28346,14670,14345,177,330.2497410241721,411.24815226129465,2435.9438594177113,2435.9438594177113,1523.3367980255634,1586.741387272892,0.08436716186667241,0.13075337869551223
80,1.1863538446410442,1.1863538446410442,28381,14501,14500,181,404.77132105044,480.73492328477386,3493.0971285048226,3493.0971285048226,1549.376660838734,1622.8464767080704,2.3032168194991143,2.3894712838866545
81,0.8596706287193598,0.8596706287193598,28009,14726,14265,175,354.38681753449794,431.12076223842075,2310.084949634688,2310.084949634688,1267.5231919194912,1328.1129705069816,0.3071752130410709,0.45732281927743795
82,0.8687179215152162,0.8687179215152162,28203,14695,14286,175,388.0936444220055,472.99218291678017,2224.795009624227,2224.795009624227,1289.2054949175683,1348.4042770404892,0.10249113701122217,0.21088931342585168
83,0.9762765279449859,0.9762765279449859,28235,14636,14309,188,340.133784637522,418.26265393008254,3124.9358832649477,3124.9358832649477,2680.224148966337,2742.29192405297,0.9777107170173416,1.04062982114006
84,0.9563083756613797,0.9563083756613797,28336,14650,14365,199,337.56907354960686,416.63086248441533,2669.4875685560723,2669.4875685560723,1202.3377198151384,1266.8517718118692,0.48780274237169385,0.5324838286869537
