table_type,method,seed,terminal,count,probability
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LIII Complex Pyramidal,35,0.0175
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LIII V Bipolar Pyramidal,34,0.017
terminal_distribution,weighted_random_walk_ensemble,DG Granule,CA1 Pyramidal,86,0.043
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LV Multipolar Pyramidal,29,0.0145
terminal_distribution,weighted_random_walk_ensemble,DG Granule,LEC LIII Multipolar Principal,39,0.0195
terminal_distribution,weighted_random_walk_ensemble,DG Granule,CA2 Pyramidal,43,0.0215
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LIII Bipolar Complex Pyramidal,30,0.015
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LII Stellate,28,0.014
terminal_distribution,weighted_random_walk_ensemble,DG Granule,CA3 Pyramidal,43,0.0215
terminal_distribution,weighted_random_walk_ensemble,DG Granule,DG Semilunar Granule,29,0.0145
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LIII Pyramidal Stellate,33,0.0165
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LI II Multipolar Pyramidal,17,0.0085
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LIV VI Deep Multipolar Principal,33,0.0165
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LV Superficial Pyramidal,24,0.012
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LIII Pyramidal,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LI II Pyramidal Fan,2,0.001
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LII III Pyramidal Multiform,24,0.012
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,LEC LIII Multipolar Principal,34,0.017
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LIII Stellate,32,0.016
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,CA1 Pyramidal,83,0.0415
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,DG Mossy,96,0.048
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,CA1 Radiatum Giant,724,0.362
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,DG Granule,94,0.047
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LV VI Pyramidal Polymorphic,99,0.0495
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LI II Multipolar Pyramidal,23,0.0115
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LIII V Bipolar Pyramidal,36,0.018
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,SUB CA1 Projecting Pyramidal,39,0.0195
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,CA3 Granule,105,0.0525
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LV Multipolar Pyramidal,34,0.017
