pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA3 Pyramidal,CA2 Wide Arbor Basket,e,i,196409.19270127884,0.06561,12886.407133130904
CA3 Pyramidal,CA2 SP SR,e,i,278151.1628942592,0.02724,7576.8376772396205
CA3 Pyramidal,CA1 Pyramidal,e,e,380827.98284731206,0.02905,11063.052901714414
CA3 Pyramidal,CA1 Quadrilaminar,e,i,135430.70471760212,0.07486,10138.342555159694
CA3 Pyramidal,CA1 LMR,e,i,32725.761933196078,0.41516,13586.427324185683
CA3 Pyramidal,CA1 Perforant Path Associated,e,i,78833.5618303563,0.57998,45721.88919037005
CA3 Pyramidal,CA1 Radial Trilaminar,e,i,48612.110393900584,0.12477,6065.333013846976
CA3 Pyramidal,CA1 Schaffer Collateral Associated,e,i,127083.09531676587,0.04399,5590.385362984531
CA3 Pyramidal,CA1 Back Projection,e,i,843714.0348847887,0.19378,163494.90567997436
CA3 Pyramidal,CA1 Radiatum,e,i,77702.49045034703,0.10737,8342.91639965376
CA3 Pyramidal,CA1 SO SO,e,i,1082066.7210632826,0.16655,180218.21239308972
CA3 Pyramidal,CA1 Trilaminar,e,i,2030611.1265128772,0.60445,1227402.8954207087
CA3 Pyramidal,CA1 Axo Axonic,e,i,159502.00832572696,0.07601,12123.747652838505
CA3 Pyramidal,CA1 Horizontal Axo Axonic,e,i,330795.00477235904,0.33807,111831.86726339141
CA3 Pyramidal,CA1 Horizontal Basket,e,i,755237.5847063188,0.15787,119229.35749758656
CA3 Pyramidal,CA1 Radiatum Giant,e,e,165936.03817408613,0.00183,303.66294985857763
CA3 Pyramidal,CA1 Oriens Alveus,e,i,124756.44190094133,0.1554,19387.151071406282
CA3 Pyramidal,CA1 R Receiving Apical Targeting,e,i,212463.56356371095,0.25936,55104.54984588407
CA3 Pyramidal,CA1 OR LM,e,i,530494.5777978556,0.11974,63521.42074551523
CA3 Pyramidal,CA1 O LM,e,i,1000047.2060714313,0.04818,48182.27438852156
CA3 Pyramidal,CA1 Perforant Path Associated QuadD,e,i,584453.5674132234,0.33842,197790.77628398308
CA3 Pyramidal,CA1 Basket,e,i,228141.63568381788,0.1666,38008.39650492406
CA3 Pyramidal,CA1 Basket CCK+,e,i,156057.75447742542,0.12483,19480.689491417015
